id_txt	id_sent	html	id_ent1	id_ent2
CIENCIA_2002_22010	S8	<span data-id='0'>A</span> <span data-id='1'>equipe</span> <span data-id='2'>de</span> <span data-id='3'class='per'>Peter_Savolainen</span> <span data-id='4'class='word'>,</span> <span data-id='5'class='word'>de</span> <span data-id='6'class='word'>o</span> <span data-id='7'class='org'>Instituto_Real_de_Tecnologia</span> <span data-id='8'>,</span> <span data-id='9'>de</span> <span data-id='10'class='entity'>Estocolmo</span> <span data-id='11'>,</span> <span data-id='12'class='entity'>Suécia</span> <span data-id='13'>,</span> <span data-id='14'>constatou</span> <span data-id='15'>que</span> <span data-id='16'>a</span> <span data-id='17'>diversidade</span> <span data-id='18'>genética</span> <span data-id='19'>era</span> <span data-id='20'>maior</span> <span data-id='21'>entre</span> <span data-id='22'>os</span> <span data-id='23'>cães</span> <span data-id='24'>de</span> <span data-id='25'>o</span> <span data-id='26'>leste</span> <span data-id='27'>asiático</span> <span data-id='28'>.</span> 	7	3
CIENCIA_2002_22010	S8	<span data-id='0'>A</span> <span data-id='1'>equipe</span> <span data-id='2'>de</span> <span data-id='3'class='entity'>Peter_Savolainen</span> <span data-id='4'>,</span> <span data-id='5'>de</span> <span data-id='6'>o</span> <span data-id='7'class='org'>Instituto_Real_de_Tecnologia</span> <span data-id='8'class='word'>,</span> <span data-id='9'class='word'>de</span> <span data-id='10'class='plc'>Estocolmo</span> <span data-id='11'>,</span> <span data-id='12'class='entity'>Suécia</span> <span data-id='13'>,</span> <span data-id='14'>constatou</span> <span data-id='15'>que</span> <span data-id='16'>a</span> <span data-id='17'>diversidade</span> <span data-id='18'>genética</span> <span data-id='19'>era</span> <span data-id='20'>maior</span> <span data-id='21'>entre</span> <span data-id='22'>os</span> <span data-id='23'>cães</span> <span data-id='24'>de</span> <span data-id='25'>o</span> <span data-id='26'>leste</span> <span data-id='27'>asiático</span> <span data-id='28'>.</span> 	7	10
CIENCIA_2002_22010	S8	<span data-id='0'>A</span> <span data-id='1'>equipe</span> <span data-id='2'>de</span> <span data-id='3'class='entity'>Peter_Savolainen</span> <span data-id='4'>,</span> <span data-id='5'>de</span> <span data-id='6'>o</span> <span data-id='7'class='org'>Instituto_Real_de_Tecnologia</span> <span data-id='8'class='word'>,</span> <span data-id='9'class='word'>de</span> <span data-id='10'class='entity'>Estocolmo</span> <span data-id='11'class='word'>,</span> <span data-id='12'class='plc'>Suécia</span> <span data-id='13'>,</span> <span data-id='14'>constatou</span> <span data-id='15'>que</span> <span data-id='16'>a</span> <span data-id='17'>diversidade</span> <span data-id='18'>genética</span> <span data-id='19'>era</span> <span data-id='20'>maior</span> <span data-id='21'>entre</span> <span data-id='22'>os</span> <span data-id='23'>cães</span> <span data-id='24'>de</span> <span data-id='25'>o</span> <span data-id='26'>leste</span> <span data-id='27'>asiático</span> <span data-id='28'>.</span> 	7	12
CIENCIA_2002_22010	S13	<span data-id='0'class='per'>Jennifer_Leonard</span> <span data-id='1'class='word'>,</span> <span data-id='2'class='word'>de</span> <span data-id='3'class='word'>a</span> <span data-id='4'class='org'>Universidade_da_Califórnia</span> <span data-id='5'>em</span> <span data-id='6'class='entity'>Los_Angeles</span> <span data-id='7'>,</span> <span data-id='8'>e</span> <span data-id='9'>colegas</span> <span data-id='10'>de</span> <span data-id='11'>instituições</span> <span data-id='12'>de</span> <span data-id='13'>o</span> <span data-id='14'class='entity'>Peru</span> <span data-id='15'>e</span> <span data-id='16'>de</span> <span data-id='17'>o</span> <span data-id='18'class='entity'>México</span> <span data-id='19'>procuraram</span> <span data-id='20'>verificar</span> <span data-id='21'>o</span> <span data-id='22'>material</span> <span data-id='23'>genético</span> <span data-id='24'>de</span> <span data-id='25'>raças</span> <span data-id='26'>de</span> <span data-id='27'>cachorro</span> <span data-id='28'>sabidamente</span> <span data-id='29'>anteriores</span> <span data-id='30'>a</span> <span data-id='31'>a</span> <span data-id='32'>chegada</span> <span data-id='33'>de</span> <span data-id='34'>os</span> <span data-id='35'>europeus</span> <span data-id='36'>.</span> 	4	0
CIENCIA_2002_22010	S13	<span data-id='0'class='entity'>Jennifer_Leonard</span> <span data-id='1'>,</span> <span data-id='2'>de</span> <span data-id='3'>a</span> <span data-id='4'class='org'>Universidade_da_Califórnia</span> <span data-id='5'class='word'>em</span> <span data-id='6'class='plc'>Los_Angeles</span> <span data-id='7'>,</span> <span data-id='8'>e</span> <span data-id='9'>colegas</span> <span data-id='10'>de</span> <span data-id='11'>instituições</span> <span data-id='12'>de</span> <span data-id='13'>o</span> <span data-id='14'class='entity'>Peru</span> <span data-id='15'>e</span> <span data-id='16'>de</span> <span data-id='17'>o</span> <span data-id='18'class='entity'>México</span> <span data-id='19'>procuraram</span> <span data-id='20'>verificar</span> <span data-id='21'>o</span> <span data-id='22'>material</span> <span data-id='23'>genético</span> <span data-id='24'>de</span> <span data-id='25'>raças</span> <span data-id='26'>de</span> <span data-id='27'>cachorro</span> <span data-id='28'>sabidamente</span> <span data-id='29'>anteriores</span> <span data-id='30'>a</span> <span data-id='31'>a</span> <span data-id='32'>chegada</span> <span data-id='33'>de</span> <span data-id='34'>os</span> <span data-id='35'>europeus</span> <span data-id='36'>.</span> 	4	6
CIENCIA_2002_22010	S13	<span data-id='0'class='entity'>Jennifer_Leonard</span> <span data-id='1'>,</span> <span data-id='2'>de</span> <span data-id='3'>a</span> <span data-id='4'class='org'>Universidade_da_Califórnia</span> <span data-id='5'class='word'>em</span> <span data-id='6'class='entity'>Los_Angeles</span> <span data-id='7'class='word'>,</span> <span data-id='8'class='word'>e</span> <span data-id='9'class='word'>colegas</span> <span data-id='10'class='word'>de</span> <span data-id='11'class='word'>instituições</span> <span data-id='12'class='word'>de</span> <span data-id='13'class='word'>o</span> <span data-id='14'class='plc'>Peru</span> <span data-id='15'>e</span> <span data-id='16'>de</span> <span data-id='17'>o</span> <span data-id='18'class='entity'>México</span> <span data-id='19'>procuraram</span> <span data-id='20'>verificar</span> <span data-id='21'>o</span> <span data-id='22'>material</span> <span data-id='23'>genético</span> <span data-id='24'>de</span> <span data-id='25'>raças</span> <span data-id='26'>de</span> <span data-id='27'>cachorro</span> <span data-id='28'>sabidamente</span> <span data-id='29'>anteriores</span> <span data-id='30'>a</span> <span data-id='31'>a</span> <span data-id='32'>chegada</span> <span data-id='33'>de</span> <span data-id='34'>os</span> <span data-id='35'>europeus</span> <span data-id='36'>.</span> 	4	14
CIENCIA_2002_22010	S13	<span data-id='0'class='entity'>Jennifer_Leonard</span> <span data-id='1'>,</span> <span data-id='2'>de</span> <span data-id='3'>a</span> <span data-id='4'class='org'>Universidade_da_Califórnia</span> <span data-id='5'class='word'>em</span> <span data-id='6'class='entity'>Los_Angeles</span> <span data-id='7'class='word'>,</span> <span data-id='8'class='word'>e</span> <span data-id='9'class='word'>colegas</span> <span data-id='10'class='word'>de</span> <span data-id='11'class='word'>instituições</span> <span data-id='12'class='word'>de</span> <span data-id='13'class='word'>o</span> <span data-id='14'class='entity'>Peru</span> <span data-id='15'class='word'>e</span> <span data-id='16'class='word'>de</span> <span data-id='17'class='word'>o</span> <span data-id='18'class='plc'>México</span> <span data-id='19'>procuraram</span> <span data-id='20'>verificar</span> <span data-id='21'>o</span> <span data-id='22'>material</span> <span data-id='23'>genético</span> <span data-id='24'>de</span> <span data-id='25'>raças</span> <span data-id='26'>de</span> <span data-id='27'>cachorro</span> <span data-id='28'>sabidamente</span> <span data-id='29'>anteriores</span> <span data-id='30'>a</span> <span data-id='31'>a</span> <span data-id='32'>chegada</span> <span data-id='33'>de</span> <span data-id='34'>os</span> <span data-id='35'>europeus</span> <span data-id='36'>.</span> 	4	18
CIENCIA_2005_28756	S2	<span data-id='0'class='per'>Marcelo_Tejedor</span> <span data-id='1'class='word'>,</span> <span data-id='2'class='word'>paleontólogo</span> <span data-id='3'class='word'>de</span> <span data-id='4'class='word'>a</span> <span data-id='5'class='org'>Universidade_Nacional_da_Patagônia</span> <span data-id='6'>,</span> <span data-id='7'>esboça</span> <span data-id='8'>um</span> <span data-id='9'>sorriso</span> <span data-id='10'>meio</span> <span data-id='11'>sem</span> <span data-id='12'>graça</span> <span data-id='13'>quando</span> <span data-id='14'>lhe</span> <span data-id='15'>perguntam</span> <span data-id='16'>se</span> <span data-id='17'>não</span> <span data-id='18'>é</span> <span data-id='19'>uma</span> <span data-id='20'>situação</span> <span data-id='21'>frustrante</span> <span data-id='22'>.</span> 	5	0
CIENCIA_2003_6472	S2	<span data-id='0'>Os</span> <span data-id='1'>resultados</span> <span data-id='2'>de</span> <span data-id='3'>o</span> <span data-id='4'>trabalho</span> <span data-id='5'>,</span> <span data-id='6'>que</span> <span data-id='7'>tem</span> <span data-id='8'>como</span> <span data-id='9'>autores</span> <span data-id='10'>pesquisadores</span> <span data-id='11'>franceses</span> <span data-id='12'>e</span> <span data-id='13'>argentinos</span> <span data-id='14'>e</span> <span data-id='15'>o</span> <span data-id='16'>astrofísico</span> <span data-id='17'>brasileiro</span> <span data-id='18'class='per'>Irapuan_Rodrigues</span> <span data-id='19'class='word'>,</span> <span data-id='20'class='word'>haviam</span> <span data-id='21'class='word'>sido</span> <span data-id='22'class='word'>noticiados</span> <span data-id='23'class='word'>por</span> <span data-id='24'class='word'>a</span> <span data-id='25'class='org'>Folha</span> <span data-id='26-27'class='entity'>em março</span> <span data-id='28'>,</span> <span data-id='29'>antes</span> <span data-id='30'>de</span> <span data-id='31'>o</span> <span data-id='32'>estudo</span> <span data-id='33'>ser</span> <span data-id='34'>selecionado</span> <span data-id='35'>para</span> <span data-id='36'>publicação</span> <span data-id='37'>.</span> 	25	18
CIENCIA_2000_17113	S18	<span data-id='0'>"</span> <span data-id='1'>Esse</span> <span data-id='2'>é</span> <span data-id='3'>um</span> <span data-id='4'>alvo</span> <span data-id='5'>viável</span> <span data-id='6'>para</span> <span data-id='7'>remédios</span> <span data-id='8'>contra</span> <span data-id='9'>a</span> <span data-id='10'>obesidade</span> <span data-id='11'>"</span> <span data-id='12'>,</span> <span data-id='13'>disse</span> <span data-id='14'>um</span> <span data-id='15'>de</span> <span data-id='16'>os</span> <span data-id='17'>autores</span> <span data-id='18'>,</span> <span data-id='19'class='per'>John_Clapham</span> <span data-id='20'class='word'>,</span> <span data-id='21'class='word'>de</span> <span data-id='22'class='word'>a</span> <span data-id='23'class='word'>empresa</span> <span data-id='24'class='word'>farmacêutica</span> <span data-id='25'class='org'>SmithKline_Beecham</span> <span data-id='26'>,</span> <span data-id='27'>que</span> <span data-id='28'>fez</span> <span data-id='29'>o</span> <span data-id='30'>estudo</span> <span data-id='31'>em</span> <span data-id='32'>colaboração</span> <span data-id='33'>com</span> <span data-id='34'>a</span> <span data-id='35'class='entity'>Universidade_de_Cambridge</span> <span data-id='36'>,</span> <span data-id='37'class='entity'>Reino_Unido</span> <span data-id='38'>.</span> 	25	19
